# Consolidated emission SPD tables (relative_power; loader normalizes). Split by `emitter` into
# emission/tables/<table_mietab> with header: wavelength_nm,relative_power.
# 'continuous' = piecewise-linear PDF; 'line' = discrete point-mass lines (see emission_emitters.miesrc kind).
# Full 1nm CIE D65/A tables and full pvlib AM1.5G (~2000 rows) exist at their cited sources; sampled here.
emitter,wavelength_nm,relative_power
led_white_2733k,400,0.04
led_white_2733k,420,0.53
led_white_2733k,440,4.16
led_white_2733k,450,7.89
led_white_2733k,460,6.25
led_white_2733k,480,3.70
led_white_2733k,500,5.41
led_white_2733k,520,7.98
led_white_2733k,540,10.76
led_white_2733k,560,14.23
led_white_2733k,580,18.14
led_white_2733k,600,20.80
led_white_2733k,605,21.00
led_white_2733k,620,20.23
led_white_2733k,640,16.78
led_white_2733k,660,12.15
led_white_2733k,680,7.98
led_white_2733k,700,4.89
cie_d65,380,49.98
cie_d65,400,82.75
cie_d65,420,93.43
cie_d65,440,104.87
cie_d65,460,117.81
cie_d65,480,115.92
cie_d65,500,109.35
cie_d65,520,104.79
cie_d65,560,100.00
cie_d65,600,90.01
cie_d65,640,83.70
cie_d65,680,78.28
cie_d65,720,61.60
cie_d65,760,46.42
cie_d65,780,63.38
cie_a,380,9.80
cie_a,420,21.00
cie_a,460,37.81
cie_a,500,59.86
cie_a,560,100.00
cie_a,600,129.04
cie_a,640,157.98
cie_a,680,185.43
cie_a,720,210.37
cie_a,780,241.68
cie_e,300,1.0
cie_e,830,1.0
solar_am1.5g,300,0.00102
solar_am1.5g,350,0.528
solar_am1.5g,400,1.114
solar_am1.5g,450,1.560
solar_am1.5g,500,1.545
solar_am1.5g,550,1.540
solar_am1.5g,600,1.475
solar_am1.5g,650,1.359
solar_am1.5g,700,1.282
solar_am1.5g,750,1.234
solar_am1.5g,800,1.073
solar_am1.5g,900,0.743
solar_am1.5g,1000,0.735
solar_am1.5g,1100,0.486
solar_am1.5g,1200,0.448
solar_am1.5g,1400,0.000000003
solar_am1.5g,1600,0.238
solar_am1.5g,2000,0.0382
solar_am1.5g,2200,0.0712
solar_am1.5g,2500,0.00706
solar_am0,300,0.458
solar_am0,400,1.689
solar_am0,500,1.916
solar_am0,600,1.770
solar_am0,700,1.422
solar_am0,800,1.125
solar_am0,1000,0.743
solar_am0,1200,0.500
solar_am0,1400,0.339
solar_am0,1600,0.253
solar_am0,2000,0.117
solar_am0,2500,0.0514
hg_lamp,253.65,900000
hg_lamp,365.02,9000
hg_lamp,404.66,12000
hg_lamp,435.83,12000
hg_lamp,546.08,6000
hg_lamp,576.96,1000
hg_lamp,579.07,900
hg_lamp,690.75,1000
hg_lamp,708.19,1000
na_lamp,568.26,5
na_lamp,588.995,80000
na_lamp,589.592,40000
na_lamp,616.07,2
na_lamp,819.48,9
ne_lamp,585.25,1000
ne_lamp,602.99,5000
ne_lamp,614.31,5000
ne_lamp,626.65,5000
ne_lamp,630.48,10000
ne_lamp,633.44,5000
ne_lamp,638.30,5000
ne_lamp,640.23,3000
ne_lamp,659.90,5000
ne_lamp,667.83,10000
ne_lamp,692.95,3000
ne_lamp,724.52,3000
ar_lamp,696.54,10000
ar_lamp,706.72,10000
ar_lamp,738.40,10000
ar_lamp,751.47,15000
ar_lamp,763.51,25000
ar_lamp,772.38,15000
ar_lamp,810.37,20000
ar_lamp,811.53,35000
ar_lamp,842.46,20000
ar_lamp,852.14,15000
ar_lamp,912.27,35000
ar_lamp,965.78,25000
