wavelength_nm,Rs,Rp,Ts,Tp
400,0.96,0.96,0.03,0.03
450,0.96,0.96,0.03,0.03
500,0.96,0.96,0.03,0.03
550,0.959998,0.96,0.030002,0.03
600,0.959855,0.959988,0.030142,0.030012
650,0.950743,0.959233,0.039055,0.03075
675,0.89059,0.953876,0.097893,0.03599
700,0.596457,0.913028,0.385597,0.075946
710,0.408543,0.858685,0.569403,0.129101
720,0.248771,0.756229,0.725683,0.229317
730,0.146315,0.596457,0.825899,0.385597
740,0.091972,0.408543,0.879054,0.569403
750,0.066024,0.248771,0.904435,0.725683
760,0.054257,0.146315,0.915945,0.825899
775,0.047672,0.076517,0.922387,0.894172
800,0.045334,0.049046,0.924674,0.921042
850,0.045005,0.045063,0.924995,0.924938
900,0.045,0.045001,0.925,0.924999
950,0.045,0.045,0.925,0.925
1000,0.045,0.045,0.925,0.925
1050,0.045,0.045,0.925,0.925
1100,0.045,0.045,0.925,0.925
