wavelength_nm,Rs,Rp,Ts,Tp
420,0.986762,0.047669,0.000659,0.924663
440,0.987369,0.043416,0.00061,0.933168
460,0.988033,0.038771,0.000557,0.942457
480,0.988695,0.034135,0.000504,0.951729
500,0.989285,0.030005,0.000457,0.95999
520,0.98973,0.026891,0.000422,0.966217
540,0.989969,0.025215,0.000402,0.969569
560,0.989969,0.025215,0.000402,0.969569
580,0.98973,0.026891,0.000422,0.966217
600,0.989285,0.030005,0.000457,0.95999
620,0.988695,0.034135,0.000504,0.951729
640,0.988033,0.038771,0.000557,0.942457
660,0.987369,0.043416,0.00061,0.933168
680,0.986762,0.047669,0.000659,0.924663
