wavelength_nm,transmittance_internal
400,0.88531206
410,0.86522443
420,0.85239234
430,0.85951339
440,0.86951598
450,0.87668426
460,0.86951598
470,0.87812027
480,0.88963651
490,0.89541336
500,0.89396798
510,0.89107956
520,0.88099464
530,0.87668426
540,0.882433
550,0.89685952
560,0.89685952
570,0.89252338
580,0.88099464
590,0.86236733
600,0.83962432
610,0.80310183
620,0.76712481
630,0.72226043
640,0.67567226
650,0.62371227
660,0.5719115
670,0.5180117
680,0.46359659
690,0.40789092
700,0.35143419
710,0.29985895
720,0.25203412
730,0.21062256
740,0.17093306
750,0.1364171
760,0.10743917
770,0.08281908
780,0.06280376
790,0.04687217
800,0.03500061
810,0.02478155
820,0.01812482
830,0.01289864
840,0.00891667
850,0.00626929
860,0.00443655
870,0.00304319
880,0.00202386
890,0.00131453
900,0.00092595
910,0.00063657
920,0.00043034
930,0.00028197
940,0.00020706
950,0.0001403
960,0.00010319
970,7.009e-05
980,5.238e-05
990,3.648e-05
1000,2.745e-05
1010,2.137e-05
1020,1.619e-05
1030,1.255e-05
1040,9.55e-06
1050,8e-06
1060,6.55e-06
1070,4.69e-06
1080,3.95e-06
1090,3.72e-06
1100,3.49e-06
