wavelength_nm,order,eta_s,eta_p
400,0,0.039385,0.049077
400,-1,0.804066,0.703662
425,0,0.039652,0.049477
425,-1,0.823848,0.723572
450,0,0.039844,0.049767
450,-1,0.838276,0.738137
475,0,0.039961,0.049941
475,-1,0.847054,0.747016
500,0,0.04,0.05
500,-1,0.85,0.75
525,0,0.039961,0.049941
525,-1,0.847054,0.747016
550,0,0.039844,0.049767
550,-1,0.838276,0.738137
575,0,0.039652,0.049477
575,-1,0.823848,0.723572
600,0,0.039385,0.049077
600,-1,0.804066,0.703662
625,0,0.039047,0.04857
625,-1,0.779327,0.678866
650,0,0.038642,0.047963
650,-1,0.750122,0.649744
675,0,0.038175,0.047262
675,-1,0.717016,0.616933
700,0,0.03765,0.046475
700,-1,0.680627,0.581128
725,0,0.037074,0.04561
725,-1,0.641614,0.543055
750,0,0.036452,0.044677
750,-1,0.600651,0.503446
775,0,0.03579,0.043686
775,-1,0.558412,0.46302
800,0,0.035097,0.042645
800,-1,0.515551,0.42246
825,0,0.034377,0.041566
825,-1,0.472686,0.382391
850,0,0.033639,0.040458
850,-1,0.430385,0.343375
875,0,0.032888,0.039332
875,-1,0.389158,0.305891
900,0,0.032131,0.038196
900,-1,0.349445,0.270336
