wavelength_nm,n,k
380.0,3.117869837644442,0.0
390.0,3.051675187248467,0.0
400.0,2.995953146698819,0.0
410.0,2.948420294385833,0.0
420.0,2.9074150778592966,0.0
430.0,2.8716984534675962,0.0
440.0,2.8403269518300434,0.0
450.0,2.812569111716778,0.0
460.0,2.7878488651189217,0.0
470.0,2.7657062150036498,0.0
480.0,2.745769321560326,0.0
490.0,2.7277343012145683,0.0
500.0,2.711350354064694,0.0
510.0,2.696408644346795,0.0
520.0,2.6827338706095163,0.0
530.0,2.6701777940139237,0.0
540.0,2.6586142126062295,0.0
550.0,2.647935017326822,0.0
560.0,2.638047066956038,0.0
570.0,2.6288696898628583,0.0
580.0,2.6203326703678504,0.0
590.0,2.61237461330472,0.0
600.0,2.6049416063044464,0.0
610.0,2.5979861183510238,0.0
620.0,2.5914660872603728,0.0
630.0,2.5853441592916746,0.0
640.0,2.579587052077694,0.0
650.0,2.574165018140741,0.0
660.0,2.569051390932877,0.0
670.0,2.5642221989564926,0.0
680.0,2.5596558363427344,0.0
690.0,2.555332780480753,0.0
700.0,2.5512353490416477,0.0
710.0,2.547347490133303,0.0
720.0,2.5436546004357967,0.0
730.0,2.5401433670625746,0.0
740.0,2.536801629616479,0.0
750.0,2.5336182594978776,0.0
760.0,2.5305830540022387,0.0
770.0,2.527686643138215,0.0
780.0,2.5249204074215235,0.0
790.0,2.5222764051680917,0.0
800.0,2.5197473080325583,0.0
810.0,2.5173263437238003,0.0
820.0,2.5150072449843823,0.0
830.0,2.51278420405112,0.0
840.0,2.5106518319237043,0.0
850.0,2.50860512186107,0.0
860.0,2.506639416603799,0.0
870.0,2.5047503788876817,0.0
880.0,2.502933964870532,0.0
890.0,2.5011864001430895,0.0
900.0,2.4995041580365913,0.0
910.0,2.497883939975513,0.0
920.0,2.496322657654908,0.0
930.0,2.4948174168485067,0.0
940.0,2.493365502676854,0.0
950.0,2.491964366184878,0.0
960.0,2.490611612095703,0.0
970.0,2.4893049876227846,0.0
980.0,2.488042372235695,0.0
990.0,2.4868217682865468,0.0
1000.0,2.485641292414243,0.0
1010.0,2.4844991676526726,0.0
1020.0,2.4833937161769017,0.0
1030.0,2.4823233526283146,0.0
1040.0,2.481286577965836,0.0
1050.0,2.4802819737957806,0.0
1060.0,2.4793081971376885,0.0
1070.0,2.4783639755877798,0.0
1080.0,2.4774481028454676,0.0
1090.0,2.4765594345717283,0.0
1100.0,2.475696884551162,0.0
