wavelength_nm,T_parallel,T_perpendicular
400,0.3,0.00111111
425,0.303125,0.00088093
450,0.30625,0.00070811
475,0.309375,0.00057622
500,0.3125,0.00047407
525,0.315625,0.00039392
550,0.31875,0.00033027
575,0.321875,0.00027918
600,0.325,0.00023777
625,0.328125,0.00020389
650,0.33125,0.00017595
675,0.334375,0.00015272
700,0.3375,0.00013328
725,0.340625,0.0001169
750,0.34375,0.00010301
775,0.346875,9.117e-05
800,0.35,8.102e-05
825,0.353125,7.228e-05
850,0.35625,6.471e-05
875,0.359375,5.813e-05
900,0.3625,5.239e-05
925,0.365625,4.735e-05
950,0.36875,4.293e-05
975,0.371875,3.902e-05
1000,0.375,3.556e-05
1025,0.378125,3.248e-05
1050,0.38125,2.974e-05
1075,0.384375,2.729e-05
1100,0.3875,2.509e-05
1125,0.390625,2.312e-05
1150,0.39375,2.135e-05
1175,0.396875,1.974e-05
1200,0.4,1.829e-05
